id,issue
bestmuscat:restaurant:kurkum,no_photo
bestmuscat:restaurant:grills-juice,missing_address
bestmuscat:restaurant:grills-juice,no_photo
bestmuscat:restaurant:kumar,missing_address
bestmuscat:restaurant:kumar,no_photo
bestmuscat:restaurant:al-majles-aloud-restaurant,missing_address
bestmuscat:restaurant:al-majles-aloud-restaurant,no_photo
bestmuscat:restaurant:cowboy-steakhouse,missing_address
bestmuscat:restaurant:cowboy-steakhouse,no_photo
bestmuscat:restaurant:seeb-waves,missing_address
bestmuscat:restaurant:seeb-waves,no_photo
bestmuscat:restaurant:nizam-restaurant,missing_address
bestmuscat:restaurant:nizam-restaurant,no_photo
bestmuscat:restaurant:mt-m-lmlh,missing_address
bestmuscat:restaurant:mt-m-lmlh,no_photo
bestmuscat:restaurant:rhm-klbkwt,missing_address
bestmuscat:restaurant:rhm-klbkwt,no_photo
bestmuscat:restaurant:turkish-days,missing_address
bestmuscat:restaurant:turkish-days,no_photo
bestmuscat:restaurant:mt-m,missing_address
bestmuscat:restaurant:mt-m,no_photo
bestmuscat:restaurant:mt-m,missing_address
bestmuscat:restaurant:mt-m,no_photo
bestmuscat:restaurant:topi-vappa-biriyani-restaurant,no_photo
bestmuscat:restaurant:gujarati-rasoi,missing_address
bestmuscat:restaurant:gujarati-rasoi,no_photo
bestmuscat:restaurant:duniyav-restaurant,missing_address
bestmuscat:restaurant:duniyav-restaurant,no_photo
bestmuscat:restaurant:pizza-hut,missing_address
bestmuscat:restaurant:pizza-hut,no_photo
bestmuscat:restaurant:steam-n-bytes,missing_address
bestmuscat:restaurant:steam-n-bytes,no_photo
bestmuscat:restaurant:macro-boost,no_photo
